date,expiry,type,entry_ts,atm,lot,short_strike,long_strike,credit,margin,spot_entry,exit_ts,exit_reason,gross_pnl,charges,net_pnl
2025-06-05,2025-06-05,bear_call,2025-06-05 10:19:00,24700,75,24700,25100,42.5,26812.5,24714.4,2025-06-05 15:01:00,TIME,779.9999999999999,100.18818787999999,679.8118121199999
2025-06-06,2025-06-12,bull_put,2025-06-06 10:23:00,24750,75,24750,24350,116.30000000000001,21277.5,24762.2,2025-06-09 15:01:00,TIME,6847.500000000001,114.29927639000002,6733.200723610001
2025-06-10,2025-06-12,bull_put,2025-06-10 10:16:00,25150,75,25150,24750,86.7,23497.5,25158.4,2025-06-11 15:01:00,TIME,1132.5000000000007,109.24781925500001,1023.2521807450007
2025-06-12,2025-06-12,bear_call,2025-06-12 10:18:00,25100,75,25100,25500,39.150000000000006,27063.75,25086.9,2025-06-12 15:01:00,TIME,2917.5000000000005,98.84062066999999,2818.6593793300003
2025-06-13,2025-06-19,bull_put,2025-06-13 10:24:00,24650,75,24650,24250,122.35,20823.75,24651.6,2025-06-16 15:01:00,TIME,6798.75,121.25062339249999,6677.4993766075
2025-06-17,2025-06-19,bull_put,2025-06-17 10:17:00,24850,75,24850,24450,82.7,23797.5,24867.4,2025-06-18 15:01:00,TIME,-569.9999999999995,110.88304802,-680.8830480199996
2025-06-19,2025-06-19,bear_call,2025-06-19 10:33:00,24800,75,24800,25200,49.9,26257.5,24816.85,2025-06-19 15:01:00,TIME,3277.5,100.22826254,3177.27173746
2025-06-20,2025-06-26,bull_put,2025-06-20 10:25:00,25000,75,25000,24600,108.69999999999999,21847.5,24978.95,2025-06-23 15:01:00,TIME,1038.7499999999995,120.81339208249999,917.9366079174996
2025-06-24,2025-06-26,bull_put,2025-06-24 10:18:00,25250,75,25250,24850,83.95,23703.75,25254.3,2025-06-25 15:01:00,TIME,2148.7500000000005,109.75115776249999,2038.9988422375004
2025-06-26,2025-06-26,bear_call,2025-06-26 10:16:00,25400,75,25400,25800,68.75,24843.75,25393.35,2025-06-26 15:01:00,TIME,-5786.25,106.8298929275,-5893.0798929275
2025-06-27,2025-07-03,bull_put,2025-06-27 10:16:00,25600,75,25600,25200,112.95,21528.75,25576.35,2025-06-30 15:01:00,TIME,-2842.5000000000014,122.183192915,-2964.683192915001
2025-07-01,2025-07-03,bear_call,2025-07-01 10:23:00,25500,75,25500,25900,117.84999999999998,21161.250000000004,25524.4,2025-07-02 15:01:00,TIME,5324.999999999998,110.81409092000001,5214.185909079998
